[  1%] Building CXX object scratch/CMakeFiles/scratch_OurNetworkProject.dir/OurNetworkProject.cc.o
[  1%] Linking CXX executable /home/serdar1/ns-allinone-3.41/ns-3.41/build/scratch/ns3.41-OurNetworkProject-default
sentPackets : 6 time : 1717101978861
sentPackets : 12 time : 1717101978861
receivedPackets : 6 time : 1717101978861
sentPackets : 18 time : 1717101978861
sentPackets : 24 time : 1717101978861
sentPackets : 30 time : 1717101978862
receivedPackets : 12 time : 1717101978862
receivedPackets : 18 time : 1717101978862
sentPackets : 36 time : 1717101978862
sentPackets : 42 time : 1717101978862
sentPackets : 48 time : 1717101978862
sentPackets : 54 time : 1717101978862
receivedPackets : 24 time : 1717101978862
sentPackets : 60 time : 1717101978862
receivedPackets : 30 time : 1717101978862
sentPackets : 66 time : 1717101978863
sentPackets : 72 time : 1717101978863
sentPackets : 78 time : 1717101978863
sentPackets : 84 time : 1717101978863
sentPackets : 90 time : 1717101978863
receivedPackets : 36 time : 1717101978863
sentPackets : 96 time : 1717101978863
receivedPackets : 42 time : 1717101978863
receivedPackets : 48 time : 1717101978863
sentPackets : 102 time : 1717101978864
sentPackets : 108 time : 1717101978864
receivedPackets : 54 time : 1717101978864
receivedPackets : 60 time : 1717101978864
sentPackets : 114 time : 1717101978864
sentPackets : 120 time : 1717101978864
sentPackets : 126 time : 1717101978864
sentPackets : 132 time : 1717101978864
receivedPackets : 66 time : 1717101978864
receivedPackets : 72 time : 1717101978864
receivedPackets : 78 time : 1717101978864
sentPackets : 138 time : 1717101978865
sentPackets : 144 time : 1717101978865
sentPackets : 150 time : 1717101978865
receivedPackets : 84 time : 1717101978865
sentPackets : 156 time : 1717101978865
receivedPackets : 90 time : 1717101978865
sentPackets : 162 time : 1717101978865
sentPackets : 168 time : 1717101978865
sentPackets : 174 time : 1717101978865
sentPackets : 180 time : 1717101978866
sentPackets : 186 time : 1717101978866
sentPackets : 192 time : 1717101978866
sentPackets : 198 time : 1717101978866
sentPackets : 204 time : 1717101978866
sentPackets : 210 time : 1717101978867
sentPackets : 216 time : 1717101978867
sentPackets : 222 time : 1717101978867
sentPackets : 228 time : 1717101978867
sentPackets : 234 time : 1717101978867
receivedPackets : 96 time : 1717101978867
sentPackets : 240 time : 1717101978867
sentPackets : 246 time : 1717101978868
sentPackets : 252 time : 1717101978868
sentPackets : 258 time : 1717101978868
sentPackets : 264 time : 1717101978868
sentPackets : 270 time : 1717101978868
sentPackets : 276 time : 1717101978868
receivedPackets : 102 time : 1717101978868
sentPackets : 282 time : 1717101978869
sentPackets : 288 time : 1717101978869
sentPackets : 294 time : 1717101978869
receivedPackets : 108 time : 1717101978869
sentPackets : 300 time : 1717101978869
